topic_id,topic_name,created_jkt,updated_jkt,deleted_jkt
xx40276341,Ratu Inggris,2016-12-19 07:38:31,2020-07-23 14:19:52,
xx923453377,Ajax Amsterdam,2017-02-13 18:55:05,2020-07-23 14:20:34,
xx47153767,BUMN,2016-12-23 14:09:40,2020-07-23 14:19:58,
xx33021913,Surabaya,2016-12-05 11:24:43,2020-07-23 14:19:51,
xx1549164765963503897,Kemenkes,2019-02-03 10:32:46,2020-07-23 14:22:47,
xx81607460,Keluarga Raffi Ahmad,2017-01-01 12:25:45,2020-07-23 14:20:04,
xx1576333205321963563,RunStyle,2019-12-14 21:20:05,2020-07-23 14:23:27,
xx1581511517329894341,Bali Kota Hantu,2020-02-12 19:45:17,2020-07-23 14:23:38,
xx27313364, Android,2016-11-20 19:53:55,2020-07-23 14:19:50,
xx1036923735,Selebgram,2017-04-26 21:30:07,2020-07-23 14:21:01,
xx27431110790315551,Timnas U-23,2018-08-03 10:46:26,2020-07-23 14:22:20,
xx40711370,Penjara,2016-12-19 16:50:48,2020-07-23 14:19:53,
xx46164650,Afghanistan,2016-12-22 17:43:25,2020-07-23 14:19:55,
xx106161422,BBM,2017-01-05 09:44:44,2020-07-23 14:20:06,
xx43233305,Raisa,2016-12-21 09:21:39,2020-07-23 14:19:54,
xx48869931,Beras,2016-12-24 12:12:36,2020-07-23 14:19:59,
xx627434527,Chrisye,2017-02-01 18:58:12,2020-07-23 14:20:27,
xx110486785,Sumatera Barat,2017-01-05 17:31:29,2020-07-23 14:20:06,
xx1573701335830363171,Film Nanti Kita Cerita Tentang Hari Ini,2019-11-14 10:15:36,2020-07-23 14:23:22,
xx982378288,Sepeda Motor,2017-02-16 10:51:15,2020-07-23 14:20:35,
xx105054901,Bekasi,2017-01-04 20:27:28,2020-07-23 14:20:06,
xx98040676,Liga Spanyol,2017-01-04 12:51:27,2020-07-23 14:20:05,
xx1010349362,Cornelia Agatha,2017-02-23 13:21:32,2020-07-23 14:20:39,
xx998055127,Banjir Bekasi,2017-02-20 16:07:01,2020-07-23 14:20:37,
xx1581059626125372978,Profit 3,2020-02-07 14:13:46,2020-07-23 14:23:37,
xx41522104,Lalu Lintas,2016-12-20 10:18:25,2020-07-23 14:19:53,
xx1560339806627256504,Mitsubishi Xpander,2019-06-12 18:43:27,2020-07-23 14:23:01,
xx143865906,Lionel Messi,2017-01-09 11:49:13,2020-07-23 14:20:09,
xx27431110790313960,Persalinan,2018-04-07 13:25:07,2020-07-23 14:22:04,
xx27431110790314337,Asmara Abigail,2018-05-04 10:27:27,2020-07-23 14:22:07,
xx680404959,Ashanty,2017-02-03 17:41:56,2020-07-23 14:20:29,
xx1573733921473593011,Bangkai Babi di Sumut,2019-11-14 19:18:41,2020-07-23 14:23:22,
xx1443761312,MOMS,2017-11-18 15:20:20,2020-12-29 16:48:47,
xx1028629308,Gratifikasi,2017-03-07 12:45:35,2020-07-23 14:20:44,
xx1581302172071974148,Geger Klitih,2020-02-10 09:36:12,2020-07-23 14:23:37,
xx43190403,Pelecehan Seksual,2016-12-21 08:12:09,2020-07-23 14:19:54,
xx1037576800,Babi,2017-03-14 18:54:59,2020-07-23 14:20:48,
xx166103124,Kecanduan Gadget,2017-01-10 16:00:55,2020-07-23 14:20:11,
xx143843136,Antoine Griezmann,2017-01-09 11:47:59,2020-07-23 14:20:09,
xx27431110790313689,Anak Cerdas,2018-03-20 12:40:41,2020-07-23 14:22:01,
xx1009368244,Zee Zee Shahab,2017-02-23 08:44:30,2020-07-23 14:20:39,
xx231556849,Seputar Kehamilan,2017-01-13 15:36:13,2020-07-23 14:20:14,
xx1013557088,Raffi Ahmad,2017-02-24 07:24:52,2020-07-23 14:20:39,
xx46934394,Manchester United,2016-12-23 12:00:18,2020-07-23 14:19:58,
xx41633646,Wiranto,2016-12-20 11:22:27,2020-07-23 14:19:53,
xx1579220583849116271,Yasonna Laoly,2020-01-17 07:23:04,2020-07-23 14:23:32,
